Subject,Semester,Date,Start Time,Duration
Web Technology,3rd Semester,2024-09-02,08:00,50
Analog Circuits,3rd Semester,2024-09-02,08:00,50
Data Communication ,5th Semester,2024-09-02,08:00,50
VLSI Design,5th Semester,2024-09-02,08:00,50
Pattern Classification,7th Semester,2024-09-02,08:00,50
Measurement & Instrumentation,7th Semester,2024-09-02,08:00,50
Data Structure,3rd Semester,2024-09-03,08:00,50
Semiconductor Devices,3rd Semester,2024-09-03,08:00,50
Information Retrieval,5th Semester,2024-09-03,08:00,50
Control Systems,5th Semester,2024-09-03,08:00,50
Natural Language Processing,7th Semester,2024-09-03,08:00,50
VLSI Technology,7th Semester,2024-09-03,08:00,50
Microprocessor,3rd Semester,2024-09-04,08:00,50
Compiler Design,5th Semester,2024-09-04,08:00,50
Analog Circuits,5th Semester,2024-09-04,08:00,50
Computer Network ,7th Semester,2024-09-04,08:00,50
Communication Technologies,7th Semester,2024-09-04,08:00,50
Signals and Systems,3rd Semester,2024-09-05,08:00,50
Environmental Sciences,5th Semester,2024-09-05,08:00,50
Cloud Computing,7th Semester,2024-09-05,08:00,50
Mobile Communication,7th Semester,2024-09-05,08:00,50
OOPS,3rd Semester,2024-09-06,08:00,50
Artificial Intelligence,5th Semester,2024-09-06,08:00,50
Digital Communication,5th Semester,2024-09-06,08:00,50
Probability ,3rd Semester,2024-09-09,08:00,50
Data Science - I,5th Semester,2024-09-09,08:00,50
